ID,Problem Description,Domain
111,Problem reported in Water Billing area at Downtown causing inconvenience.,Water Billing
112,Problem reported in Monuments area at Downtown causing inconvenience.,Monuments
113,Problem reported in Road Signs area at Hill Valley causing inconvenience.,Road Signs
114,Problem reported in Building Permits area at North End causing inconvenience.,Building Permits
115,Problem reported in Sewer Maintenance area at Downtown causing inconvenience.,Sewer Maintenance
116,Problem reported in Water Quality area at North End causing inconvenience.,Water Quality
117,Problem reported in Construction Noise area at MG Road causing inconvenience.,Construction Noise
118,Problem reported in Sidewalk Repair area at Downtown causing inconvenience.,Sidewalk Repair
119,Problem reported in Traffic area at Sector 9 causing inconvenience.,Traffic
120,Problem reported in Street Drainage area at Sector 9 causing inconvenience.,Street Drainage
121,Problem reported in Public Transport area at Riverbank causing inconvenience.,Public Transport
122,Problem reported in Traffic Enforcement area at Old Town causing inconvenience.,Traffic Enforcement
123,Problem reported in Urban Planning area at MG Road causing inconvenience.,Urban Planning
124,Problem reported in Street Sweeping area at Downtown causing inconvenience.,Street Sweeping
125,Problem reported in Zoning area at Hill Valley causing inconvenience.,Zoning
126,Problem reported in Public Markets area at Downtown causing inconvenience.,Public Markets
127,Problem reported in Permit Issuance area at Old Town causing inconvenience.,Permit Issuance
128,Problem reported in Bus Schedules area at West Park causing inconvenience.,Bus Schedules
129,Problem reported in Public Art area at Park Avenue causing inconvenience.,Public Art
130,Problem reported in Monuments area at Downtown causing inconvenience.,Monuments
131,Problem reported in Illegal Dumping area at Hill Valley causing inconvenience.,Illegal Dumping
132,Problem reported in Building Maintenance area at Hill Valley causing inconvenience.,Building Maintenance
133,Problem reported in City Planning area at North End causing inconvenience.,City Planning
134,Problem reported in Water Billing area at MG Road causing inconvenience.,Water Billing
135,Problem reported in Bridge Maintenance area at Main Street causing inconvenience.,Bridge Maintenance
136,Problem reported in Graffiti area at Sector 9 causing inconvenience.,Graffiti
137,Problem reported in Animal Control area at Riverbank causing inconvenience.,Animal Control
138,Problem reported in Fire Safety area at Main Street causing inconvenience.,Fire Safety
139,Problem reported in Sidewalks area at Main Street causing inconvenience.,Sidewalks
140,Problem reported in Bus Schedules area at Riverbank causing inconvenience.,Bus Schedules
141,Problem reported in Noise Pollution area at North End causing inconvenience.,Noise Pollution
142,Problem reported in Urban Planning area at West Park causing inconvenience.,Urban Planning
143,Problem reported in Street Performers area at MG Road causing inconvenience.,Street Performers
144,Problem reported in Parks Lighting area at Main Street causing inconvenience.,Parks Lighting
145,Problem reported in Public Schools Maintenance area at West Park causing inconvenience.,Public Schools Maintenance
146,Problem reported in Pavement Markings area at Hill Valley causing inconvenience.,Pavement Markings
147,Problem reported in Building Permits area at Sector 9 causing inconvenience.,Building Permits
148,Problem reported in Schools area at West Park causing inconvenience.,Schools
149,Problem reported in Public Parks Safety area at West Park causing inconvenience.,Public Parks Safety
150,Problem reported in Public Pools Maintenance area at Riverbank causing inconvenience.,Public Pools Maintenance
151,Problem reported in Street Repairs area at Old Town causing inconvenience.,Street Repairs
152,Problem reported in Sewer Maintenance area at Riverbank causing inconvenience.,Sewer Maintenance
153,Problem reported in Schools area at Downtown causing inconvenience.,Schools
154,Problem reported in Graffiti area at Riverbank causing inconvenience.,Graffiti
155,Problem reported in Public Parking Enforcement area at Downtown causing inconvenience.,Public Parking Enforcement
156,Problem reported in Street Lighting Maintenance area at Downtown causing inconvenience.,Street Lighting Maintenance
157,Problem reported in Public WiFi area at West Park causing inconvenience.,Public WiFi
158,Problem reported in Street Sign Maintenance area at Main Street causing inconvenience.,Street Sign Maintenance
159,Problem reported in Animal Control area at Riverbank causing inconvenience.,Animal Control
160,Problem reported in Street Closures area at Downtown causing inconvenience.,Street Closures
161,Problem reported in Energy Conservation area at Riverbank causing inconvenience.,Energy Conservation
162,Problem reported in Emergency Services area at Park Avenue causing inconvenience.,Emergency Services
163,Problem reported in Waste Management area at Riverbank causing inconvenience.,Waste Management
164,Problem reported in Parks Lighting area at West Park causing inconvenience.,Parks Lighting
165,Problem reported in Taxi Services area at Riverbank causing inconvenience.,Taxi Services
166,Problem reported in Public Health Clinics area at Sector 9 causing inconvenience.,Public Health Clinics
167,Problem reported in Parks and Recreation area at Main Street causing inconvenience.,Parks and Recreation
168,Problem reported in Rodent Control area at Main Street causing inconvenience.,Rodent Control
169,Problem reported in Hospitals area at Old Town causing inconvenience.,Hospitals
170,Problem reported in Traffic Enforcement area at MG Road causing inconvenience.,Traffic Enforcement
171,Problem reported in Public Pools Maintenance area at Main Street causing inconvenience.,Public Pools Maintenance
172,Problem reported in Road Signs area at Park Avenue causing inconvenience.,Road Signs
173,Problem reported in Public Health Clinics area at Hill Valley causing inconvenience.,Public Health Clinics
174,Problem reported in Snow Removal area at Old Town causing inconvenience.,Snow Removal
175,Problem reported in Public Pools Maintenance area at Park Avenue causing inconvenience.,Public Pools Maintenance
176,Problem reported in Street Lighting area at Downtown causing inconvenience.,Street Lighting
177,Problem reported in Electric Billing area at Sector 9 causing inconvenience.,Electric Billing
178,Problem reported in Public Pools Maintenance area at Sector 9 causing inconvenience.,Public Pools Maintenance
179,Problem reported in Water Leak Detection area at MG Road causing inconvenience.,Water Leak Detection
180,Problem reported in Street Lighting area at MG Road causing inconvenience.,Street Lighting
181,Problem reported in Public Events Noise area at Hill Valley causing inconvenience.,Public Events Noise
182,Problem reported in Tree Maintenance area at Main Street causing inconvenience.,Tree Maintenance
183,Problem reported in Cemeteries area at Old Town causing inconvenience.,Cemeteries
184,Problem reported in Graffiti Removal area at West Park causing inconvenience.,Graffiti Removal
185,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
186,Problem reported in Street Vendors area at Riverbank causing inconvenience.,Street Vendors
187,Problem reported in Potholes area at MG Road causing inconvenience.,Potholes
188,Problem reported in Public Safety area at North End causing inconvenience.,Public Safety
189,Problem reported in Public Pools Maintenance area at MG Road causing inconvenience.,Public Pools Maintenance
190,Problem reported in Public Markets area at Main Street causing inconvenience.,Public Markets
191,Problem reported in Stormwater Management area at North End causing inconvenience.,Stormwater Management
192,Problem reported in Potholes area at Downtown causing inconvenience.,Potholes
193,Problem reported in Street Cleaning Schedule area at West Park causing inconvenience.,Street Cleaning Schedule
194,Problem reported in Potholes area at Park Avenue causing inconvenience.,Potholes
195,Problem reported in Sidewalks area at Sector 9 causing inconvenience.,Sidewalks
196,Problem reported in Traffic area at Downtown causing inconvenience.,Traffic
197,Problem reported in Waste Management area at Downtown causing inconvenience.,Waste Management
198,Problem reported in Emergency Services area at Park Avenue causing inconvenience.,Emergency Services
199,Problem reported in Bike Lanes area at North End causing inconvenience.,Bike Lanes
200,Problem reported in Recycling Services area at West Park causing inconvenience.,Recycling Services
201,Problem reported in Water Leak Detection area at MG Road causing inconvenience.,Water Leak Detection
202,Problem reported in Monuments area at Park Avenue causing inconvenience.,Monuments
203,Problem reported in Street Drainage area at Old Town causing inconvenience.,Street Drainage
204,Problem reported in Street Repairs area at Hill Valley causing inconvenience.,Street Repairs
205,Problem reported in Public Markets area at Hill Valley causing inconvenience.,Public Markets
206,Problem reported in Monuments area at Old Town causing inconvenience.,Monuments
207,Problem reported in Energy Conservation area at Main Street causing inconvenience.,Energy Conservation
208,Problem reported in Permit Issuance area at MG Road causing inconvenience.,Permit Issuance
209,Problem reported in Public Events Noise area at Downtown causing inconvenience.,Public Events Noise
210,Problem reported in Taxi Services area at Main Street causing inconvenience.,Taxi Services
211,Problem reported in Noise Pollution area at Main Street causing inconvenience.,Noise Pollution
212,Problem reported in Road Accidents area at Riverbank causing inconvenience.,Road Accidents
213,Problem reported in Street Cleaning area at Park Avenue causing inconvenience.,Street Cleaning
214,Problem reported in Public Pools area at Park Avenue causing inconvenience.,Public Pools
215,Problem reported in Taxi Services area at West Park causing inconvenience.,Taxi Services
216,Problem reported in Building Permits area at Main Street causing inconvenience.,Building Permits
217,Problem reported in Graffiti Removal area at Downtown causing inconvenience.,Graffiti Removal
218,Problem reported in Public Parking Enforcement area at Downtown causing inconvenience.,Public Parking Enforcement
219,Problem reported in Recycling Services area at Old Town causing inconvenience.,Recycling Services
220,Problem reported in Homeless Shelters area at West Park causing inconvenience.,Homeless Shelters
221,Problem reported in Bridge Maintenance area at Main Street causing inconvenience.,Bridge Maintenance
222,Problem reported in Public Transport Maintenance area at West Park causing inconvenience.,Public Transport Maintenance
223,Problem reported in Water Quality area at Riverbank causing inconvenience.,Water Quality
224,Problem reported in Parks and Recreation area at MG Road causing inconvenience.,Parks and Recreation
225,Problem reported in Stormwater Management area at Downtown causing inconvenience.,Stormwater Management
226,Problem reported in Road Signs area at Main Street causing inconvenience.,Road Signs
227,Problem reported in Water Quality area at Main Street causing inconvenience.,Water Quality
228,Problem reported in Zoning area at MG Road causing inconvenience.,Zoning
229,Problem reported in Street Cleaning Schedule area at Hill Valley causing inconvenience.,Street Cleaning Schedule
230,Problem reported in Street Furniture Maintenance area at Hill Valley causing inconvenience.,Street Furniture Maintenance
231,Problem reported in Zoning area at Sector 9 causing inconvenience.,Zoning
232,Problem reported in Public WiFi area at North End causing inconvenience.,Public WiFi
233,Problem reported in Public Transport Maintenance area at Hill Valley causing inconvenience.,Public Transport Maintenance
234,Problem reported in Public Transport Maintenance area at Downtown causing inconvenience.,Public Transport Maintenance
235,Problem reported in Street Cleaning Schedule area at North End causing inconvenience.,Street Cleaning Schedule
236,Problem reported in Waste Management area at North End causing inconvenience.,Waste Management
237,Problem reported in City Planning area at Downtown causing inconvenience.,City Planning
238,Problem reported in Sidewalk Repair area at Old Town causing inconvenience.,Sidewalk Repair
239,Problem reported in Public Landscaping area at Park Avenue causing inconvenience.,Public Landscaping
240,Problem reported in Rodent Control area at Hill Valley causing inconvenience.,Rodent Control
241,Problem reported in Bus Stops area at Riverbank causing inconvenience.,Bus Stops
242,Problem reported in Permit Issuance area at Park Avenue causing inconvenience.,Permit Issuance
243,Problem reported in Bus Schedules area at Park Avenue causing inconvenience.,Bus Schedules
244,Problem reported in Animal Control area at Old Town causing inconvenience.,Animal Control
245,Problem reported in Public Art area at West Park causing inconvenience.,Public Art
246,Problem reported in Sewage area at Main Street causing inconvenience.,Sewage
247,Problem reported in Street Closures area at Park Avenue causing inconvenience.,Street Closures
248,Problem reported in Hospitals area at Hill Valley causing inconvenience.,Hospitals
249,Problem reported in Street Sweeping area at North End causing inconvenience.,Street Sweeping
250,Problem reported in Permit Issuance area at MG Road causing inconvenience.,Permit Issuance
251,Problem reported in Construction Noise area at North End causing inconvenience.,Construction Noise
252,Problem reported in Street Cleaning area at West Park causing inconvenience.,Street Cleaning
253,Problem reported in Street Lighting Maintenance area at Main Street causing inconvenience.,Street Lighting Maintenance
254,Problem reported in Sidewalks area at Downtown causing inconvenience.,Sidewalks
255,Problem reported in Traffic Enforcement area at Old Town causing inconvenience.,Traffic Enforcement
256,Problem reported in Swimming Pools Safety area at MG Road causing inconvenience.,Swimming Pools Safety
257,Problem reported in Illegal Dumping area at Hill Valley causing inconvenience.,Illegal Dumping
258,Problem reported in Hospitals area at Riverbank causing inconvenience.,Hospitals
259,Problem reported in Taxi Services area at West Park causing inconvenience.,Taxi Services
260,Problem reported in Street Furniture Maintenance area at Hill Valley causing inconvenience.,Street Furniture Maintenance
261,Problem reported in Street Sweeping area at Riverbank causing inconvenience.,Street Sweeping
262,Problem reported in Public Pools area at Old Town causing inconvenience.,Public Pools
263,Problem reported in Public Safety area at Hill Valley causing inconvenience.,Public Safety
264,Problem reported in Pavement Markings area at Main Street causing inconvenience.,Pavement Markings
265,Problem reported in Police area at MG Road causing inconvenience.,Police
266,Problem reported in Tree Maintenance area at Hill Valley causing inconvenience.,Tree Maintenance
267,There is a leak in the water pipe near Hill Valley street.,Water Supply
268,Problem reported in Graffiti area at Riverbank causing inconvenience.,Graffiti
269,Problem reported in Bus Stops area at MG Road causing inconvenience.,Bus Stops
270,Problem reported in Public Safety area at Hill Valley causing inconvenience.,Public Safety
271,Problem reported in Road Accidents area at Old Town causing inconvenience.,Road Accidents
272,Problem reported in Public Pools area at West Park causing inconvenience.,Public Pools
273,Problem reported in Parking area at Main Street causing inconvenience.,Parking
274,Problem reported in Street Cleaning Schedule area at MG Road causing inconvenience.,Street Cleaning Schedule
275,Problem reported in Energy Conservation area at Hill Valley causing inconvenience.,Energy Conservation
276,Problem reported in Public Transport area at Old Town causing inconvenience.,Public Transport
277,Problem reported in Public Transport Maintenance area at Park Avenue causing inconvenience.,Public Transport Maintenance
278,Problem reported in Tree Maintenance area at Sector 9 causing inconvenience.,Tree Maintenance
279,Problem reported in Street Drainage area at Sector 9 causing inconvenience.,Street Drainage
280,Problem reported in City Planning area at MG Road causing inconvenience.,City Planning
281,Problem reported in Tree Maintenance area at Old Town causing inconvenience.,Tree Maintenance
282,Problem reported in Bus Stops area at MG Road causing inconvenience.,Bus Stops
283,Problem reported in Road Signs area at Sector 9 causing inconvenience.,Road Signs
284,Problem reported in Homeless Shelters area at West Park causing inconvenience.,Homeless Shelters
285,Problem reported in Noise Pollution area at Riverbank causing inconvenience.,Noise Pollution
286,Problem reported in Parking area at Downtown causing inconvenience.,Parking
287,Problem reported in Public Pools Maintenance area at Riverbank causing inconvenience.,Public Pools Maintenance
288,Problem reported in Waste Management area at Main Street causing inconvenience.,Waste Management
289,Problem reported in Traffic Signals area at North End causing inconvenience.,Traffic Signals
290,Problem reported in Building Maintenance area at West Park causing inconvenience.,Building Maintenance
291,Problem reported in Bike Sharing Services area at West Park causing inconvenience.,Bike Sharing Services
292,Problem reported in Urban Planning area at Riverbank causing inconvenience.,Urban Planning
293,Streetlight on Old Town avenue is broken.,Electricity
294,Problem reported in Public Safety area at MG Road causing inconvenience.,Public Safety
295,Problem reported in Flooding area at Riverbank causing inconvenience.,Flooding
296,Problem reported in Street Vendors area at Old Town causing inconvenience.,Street Vendors
297,Problem reported in Bus Schedules area at Riverbank causing inconvenience.,Bus Schedules
298,Problem reported in Water Metering area at MG Road causing inconvenience.,Water Metering
299,Problem reported in Public Pools area at Main Street causing inconvenience.,Public Pools
300,Problem reported in Emergency Services area at Old Town causing inconvenience.,Emergency Services
301,Problem reported in Swimming Pools Safety area at Park Avenue causing inconvenience.,Swimming Pools Safety
302,Problem reported in Street Vendors area at Riverbank causing inconvenience.,Street Vendors
303,Problem reported in Public Toilets area at West Park causing inconvenience.,Public Toilets
304,Problem reported in Permit Issuance area at West Park causing inconvenience.,Permit Issuance
305,Problem reported in Street Closures area at Sector 9 causing inconvenience.,Street Closures
306,Problem reported in Schools area at West Park causing inconvenience.,Schools
307,Problem reported in Stormwater Management area at Main Street causing inconvenience.,Stormwater Management
308,Problem reported in Street Cleaning Schedule area at Riverbank causing inconvenience.,Street Cleaning Schedule
309,Problem reported in Cemeteries area at Hill Valley causing inconvenience.,Cemeteries
310,Problem reported in Snow Removal area at North End causing inconvenience.,Snow Removal
311,Problem reported in Street Lighting Maintenance area at Hill Valley causing inconvenience.,Street Lighting Maintenance
312,Problem reported in Parks and Recreation area at Old Town causing inconvenience.,Parks and Recreation
313,Road needs urgent repair on West Park street.,Roads
314,Problem reported in Police area at MG Road causing inconvenience.,Police
315,Problem reported in Fire Safety area at Sector 9 causing inconvenience.,Fire Safety
316,Problem reported in Street Sweeping area at Riverbank causing inconvenience.,Street Sweeping
317,Road needs urgent repair on Main Street street.,Roads
318,Problem reported in Traffic area at Old Town causing inconvenience.,Traffic
319,Problem reported in Pavement Markings area at Riverbank causing inconvenience.,Pavement Markings
320,Problem reported in Graffiti Removal area at Old Town causing inconvenience.,Graffiti Removal
321,Problem reported in Waste Management area at Sector 9 causing inconvenience.,Waste Management
322,Problem reported in Public Schools Maintenance area at Downtown causing inconvenience.,Public Schools Maintenance
323,Problem reported in Public Markets area at North End causing inconvenience.,Public Markets
324,Problem reported in Public Pools area at MG Road causing inconvenience.,Public Pools
325,Problem reported in Drainage area at Old Town causing inconvenience.,Drainage
326,Problem reported in Street Performers area at Main Street causing inconvenience.,Street Performers
327,Problem reported in Public Schools Maintenance area at Sector 9 causing inconvenience.,Public Schools Maintenance
328,Problem reported in Bike Sharing Services area at North End causing inconvenience.,Bike Sharing Services
329,Problem reported in Street Lighting Maintenance area at Hill Valley causing inconvenience.,Street Lighting Maintenance
330,Problem reported in Building Permits area at West Park causing inconvenience.,Building Permits
331,Problem reported in Building Codes area at Downtown causing inconvenience.,Building Codes
332,Problem reported in Parks and Recreation area at Downtown causing inconvenience.,Parks and Recreation
333,Problem reported in Traffic Enforcement area at Old Town causing inconvenience.,Traffic Enforcement
334,Problem reported in Street Cleaning Schedule area at Downtown causing inconvenience.,Street Cleaning Schedule
335,Problem reported in Street Performers area at Hill Valley causing inconvenience.,Street Performers
336,Problem reported in Water Metering area at Old Town causing inconvenience.,Water Metering
337,Problem reported in Public Health Clinics area at Downtown causing inconvenience.,Public Health Clinics
338,Problem reported in Street Closures area at Old Town causing inconvenience.,Street Closures
339,Problem reported in Graffiti area at Sector 9 causing inconvenience.,Graffiti
340,Problem reported in Road Accidents area at West Park causing inconvenience.,Road Accidents
341,Problem reported in Public Art area at MG Road causing inconvenience.,Public Art
342,Problem reported in Recycling Services area at West Park causing inconvenience.,Recycling Services
343,Problem reported in Community Centers area at Downtown causing inconvenience.,Community Centers
344,Problem reported in Street Sweeping area at Park Avenue causing inconvenience.,Street Sweeping
345,Problem reported in Street Lighting Maintenance area at West Park causing inconvenience.,Street Lighting Maintenance
346,Problem reported in Street Vendors area at Park Avenue causing inconvenience.,Street Vendors
347,Problem reported in Bike Lanes area at Riverbank causing inconvenience.,Bike Lanes
348,Problem reported in Street Lighting Maintenance area at Hill Valley causing inconvenience.,Street Lighting Maintenance
349,Problem reported in Sidewalk Repair area at North End causing inconvenience.,Sidewalk Repair
350,Problem reported in Street Cleaning area at Downtown causing inconvenience.,Street Cleaning
351,Problem reported in Permit Issuance area at Hill Valley causing inconvenience.,Permit Issuance
352,Problem reported in Water Metering area at North End causing inconvenience.,Water Metering
353,Problem reported in Traffic area at Main Street causing inconvenience.,Traffic
354,Problem reported in Road Signs area at Sector 9 causing inconvenience.,Road Signs
355,Problem reported in Building Permits area at Riverbank causing inconvenience.,Building Permits
356,Problem reported in Street Repairs area at North End causing inconvenience.,Street Repairs
357,Problem reported in Street Repairs area at Old Town causing inconvenience.,Street Repairs
358,Problem reported in Public Landscaping area at Main Street causing inconvenience.,Public Landscaping
359,Problem reported in Bus Schedules area at Main Street causing inconvenience.,Bus Schedules
360,Problem reported in Fire Safety area at Riverbank causing inconvenience.,Fire Safety
361,Problem reported in Street Cleaning area at Riverbank causing inconvenience.,Street Cleaning
362,Problem reported in Street Furniture area at MG Road causing inconvenience.,Street Furniture
363,Problem reported in Bridge Maintenance area at Riverbank causing inconvenience.,Bridge Maintenance
364,Problem reported in Monuments area at Riverbank causing inconvenience.,Monuments
365,Problem reported in Sidewalks area at Riverbank causing inconvenience.,Sidewalks
366,Problem reported in Recycling Services area at MG Road causing inconvenience.,Recycling Services
367,Problem reported in Water Quality area at North End causing inconvenience.,Water Quality
368,Problem reported in Road Signs area at West Park causing inconvenience.,Road Signs
369,Electricity has been out for hours in Main Street.,Electricity
370,Problem reported in Public Pools area at Old Town causing inconvenience.,Public Pools
371,Problem reported in Water Billing area at MG Road causing inconvenience.,Water Billing
372,Problem reported in Parking area at Hill Valley causing inconvenience.,Parking
373,Problem reported in Public Parks Safety area at Old Town causing inconvenience.,Public Parks Safety
374,Problem reported in Public WiFi area at Sector 9 causing inconvenience.,Public WiFi
375,Problem reported in Energy Conservation area at Park Avenue causing inconvenience.,Energy Conservation
376,Problem reported in Public Schools Maintenance area at Downtown causing inconvenience.,Public Schools Maintenance
377,Problem reported in Fire Safety area at Downtown causing inconvenience.,Fire Safety
